corpus_id,domain,subdomain,corpus_or_collection,scope_tier,languages,geography_tradition,desired_representation,unit_of_completeness,minimum_complete_package,priority,primary_acquisition_route,agent_can_acquire_without_user_action,user_action_required,digital_availability,preferred_source_or_partner,rights_status,inventory_status,source_url,notes
COR-0001,01 Shruti and Vedic,Samhita,Rigveda Samhita — Shakala recension,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete recension with accent marks; pada/krama variants where extant; edition scans; structural index,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0002,01 Shruti and Vedic,Samhita,Rigveda Samhita — Bashkala fragments and Khilani,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete recension with accent marks; pada/krama variants where extant; edition scans; structural index,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0003,01 Shruti and Vedic,Samhita,Samaveda Samhita — Kauthuma recension,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete recension with accent marks; pada/krama variants where extant; edition scans; structural index,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0004,01 Shruti and Vedic,Samhita,Samaveda Samhita — Ranayaniya recension,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete recension with accent marks; pada/krama variants where extant; edition scans; structural index,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0005,01 Shruti and Vedic,Samhita,Samaveda Samhita — Jaiminiya/Talavakara recension,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete recension with accent marks; pada/krama variants where extant; edition scans; structural index,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0006,01 Shruti and Vedic,Samhita,Shukla Yajurveda — Vajasaneyi Madhyandina Samhita,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete recension with accent marks; pada/krama variants where extant; edition scans; structural index,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0007,01 Shruti and Vedic,Samhita,Shukla Yajurveda — Vajasaneyi Kanva Samhita,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete recension with accent marks; pada/krama variants where extant; edition scans; structural index,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0008,01 Shruti and Vedic,Samhita,Krishna Yajurveda — Taittiriya Samhita,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete recension with accent marks; pada/krama variants where extant; edition scans; structural index,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0009,01 Shruti and Vedic,Samhita,Krishna Yajurveda — Maitrayani Samhita,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete recension with accent marks; pada/krama variants where extant; edition scans; structural index,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0010,01 Shruti and Vedic,Samhita,Krishna Yajurveda — Katha Samhita,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete recension with accent marks; pada/krama variants where extant; edition scans; structural index,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
