divergence_id,corpus,locator,book,ambuda_reading,current_smith_reading,adjudication_status,provisional_rule,required_evidence,evidence_acquisition_route,purchase_or_contact_url,next_action
DIV-RAM-001,ramayana,2.14.19,2,मुष्णन्तमिव चक्षूंषि प्रभया हेमवर्चसं / करेणुशिशुकल्पैश्च युक्तं परमवाजिभिः,मुष्णन्तमिव चक्षूंषि प्रभया हेमवर्चसम् / करेणुशिशुकल्पैश्च युक्तं परमवाजिभिः,BLOCKED_PENDING_PRINT_EVIDENCE,Preserve both readings; do not silently normalize or select a winner.,"Baroda Critical Ramayana Volume II, Ayodhyakanda",PHYSICAL_PURCHASE_AND_SCAN,https://www.bibliaimpex.com/index.php?Field=bookcode&String=44866&format=fullpage&p=sr,"Acquire the exact printed page and corrigenda, image the evidence page lawfully, and record which reading the edition supports."
DIV-RAM-002,ramayana,2.16.5,2,इन्द्रियैरप्रहृष्टैस्तं शोकसंतापकर्शितम् / निःश्वसन्तं महाराजं व्यथिताकुलचेतसं,इन्द्रियैरप्रहृष्टैस्तं शोकसंतापकर्शितम् / निःश्वसन्तं महाराजं व्यथिताकुलचेतसम्,BLOCKED_PENDING_PRINT_EVIDENCE,Preserve both readings; do not silently normalize or select a winner.,"Baroda Critical Ramayana Volume II, Ayodhyakanda",PHYSICAL_PURCHASE_AND_SCAN,https://www.bibliaimpex.com/index.php?Field=bookcode&String=44866&format=fullpage&p=sr,"Acquire the exact printed page and corrigenda, image the evidence page lawfully, and record which reading the edition supports."
DIV-RAM-003,ramayana,2.17.16,2,भरताय महाराजो यौवराज्यं प्रयच्छति / मां पुनर्दण्डकारण्यं विवासयति तापसं,भरताय महाराजो यौवराज्यं प्रयच्छति / मां पुनर्दण्डकारण्यं विवासयति तापसम्,BLOCKED_PENDING_PRINT_EVIDENCE,Preserve both readings; do not silently normalize or select a winner.,"Baroda Critical Ramayana Volume II, Ayodhyakanda",PHYSICAL_PURCHASE_AND_SCAN,https://www.bibliaimpex.com/index.php?Field=bookcode&String=44866&format=fullpage&p=sr,"Acquire the exact printed page and corrigenda, image the evidence page lawfully, and record which reading the edition supports."
DIV-RAM-004,ramayana,2.17.17,2,तामदुःखोचितां दृष्ट्वा पतितां कदलीमिव / रामस्तूत्थापयामास मातरं गतचेतसं,तामदुःखोचितां दृष्ट्वा पतितां कदलीमिव / रामस्तूत्थापयामास मातरं गतचेतसम्,BLOCKED_PENDING_PRINT_EVIDENCE,Preserve both readings; do not silently normalize or select a winner.,"Baroda Critical Ramayana Volume II, Ayodhyakanda",PHYSICAL_PURCHASE_AND_SCAN,https://www.bibliaimpex.com/index.php?Field=bookcode&String=44866&format=fullpage&p=sr,"Acquire the exact printed page and corrigenda, image the evidence page lawfully, and record which reading the edition supports."
DIV-RAM-005,ramayana,2.27.2,2,सा तमुत्तमसंविग्ना सीता विपुलवक्षसं / प्रणयाच्चाभिमानाच्च परिचिक्षेप राघवम्,सा तमुत्तमसंविग्ना सीता विपुलवक्षसम् / प्रणयाच्चाभिमानाच्च परिचिक्षेप राघवम्,BLOCKED_PENDING_PRINT_EVIDENCE,Preserve both readings; do not silently normalize or select a winner.,"Baroda Critical Ramayana Volume II, Ayodhyakanda",PHYSICAL_PURCHASE_AND_SCAN,https://www.bibliaimpex.com/index.php?Field=bookcode&String=44866&format=fullpage&p=sr,"Acquire the exact printed page and corrigenda, image the evidence page lawfully, and record which reading the edition supports."
DIV-RAM-006,ramayana,2.27.12,2,महावात समुद्धूतं यन्मामवकरिष्यति / रजो रमण तन्मन्ये परार्ध्यमिव चन्दनम्,महावातसमुद्धूतं यन्मामवकरिष्यति / रजो रमण तन्मन्ये परार्ध्यमिव चन्दनम्,BLOCKED_PENDING_PRINT_EVIDENCE,Preserve both readings; do not silently normalize or select a winner.,"Baroda Critical Ramayana Volume II, Ayodhyakanda",PHYSICAL_PURCHASE_AND_SCAN,https://www.bibliaimpex.com/index.php?Field=bookcode&String=44866&format=fullpage&p=sr,"Acquire the exact printed page and corrigenda, image the evidence page lawfully, and record which reading the edition supports."
DIV-RAM-007,ramayana,2.30.21,2,इत्येवं विविधा वाचो नानाजनसमीरिताः / शुश्राव रामः श्रुत्वा च न विचक्रेऽस्य मानसं,इत्येवं विविधा वाचो नानाजनसमीरिताः / शुश्राव रामः श्रुत्वा च न विचक्रेऽस्य मानसम्,BLOCKED_PENDING_PRINT_EVIDENCE,Preserve both readings; do not silently normalize or select a winner.,"Baroda Critical Ramayana Volume II, Ayodhyakanda",PHYSICAL_PURCHASE_AND_SCAN,https://www.bibliaimpex.com/index.php?Field=bookcode&String=44866&format=fullpage&p=sr,"Acquire the exact printed page and corrigenda, image the evidence page lawfully, and record which reading the edition supports."
DIV-RAM-008,ramayana,2.31.2,2,आलोक्य तु महाप्राज्ञः परमाकुल चेतसं / राममेवानुशोचन्तं सूतः प्राञ्जलिरासदत्,आलोक्य तु महाप्राज्ञः परमाकुल चेतसम् / राममेवानुशोचन्तं सूतः प्राञ्जलिरासदत्,BLOCKED_PENDING_PRINT_EVIDENCE,Preserve both readings; do not silently normalize or select a winner.,"Baroda Critical Ramayana Volume II, Ayodhyakanda",PHYSICAL_PURCHASE_AND_SCAN,https://www.bibliaimpex.com/index.php?Field=bookcode&String=44866&format=fullpage&p=sr,"Acquire the exact printed page and corrigenda, image the evidence page lawfully, and record which reading the edition supports."
DIV-RAM-009,ramayana,2.35.29,2,अन्वीक्षमाणो रामस्तु विषण्णं भ्रान्तचेतसं / राजानं मातरं चैव ददर्शानुगतौ पथि / धर्मपाशेन संक्षिप्तः प्रकाशं नाभ्युदैक्षत,अन्वीक्षमाणो रामस्तु विषण्णं भ्रान्तचेतसम् / राजानं मातरं चैव ददर्शानुगतौ पथि / धर्मपाशेन संक्षिप्तः प्रकाशं नाभ्युदैक्षत,BLOCKED_PENDING_PRINT_EVIDENCE,Preserve both readings; do not silently normalize or select a winner.,"Baroda Critical Ramayana Volume II, Ayodhyakanda",PHYSICAL_PURCHASE_AND_SCAN,https://www.bibliaimpex.com/index.php?Field=bookcode&String=44866&format=fullpage&p=sr,"Acquire the exact printed page and corrigenda, image the evidence page lawfully, and record which reading the edition supports."
DIV-RAM-010,ramayana,2.37.11,2,हत्वेव ब्राह्मणं कामात्स्पृष्ट्वाग्निमिव पाणिना / अन्वतप्यत धर्मात्मा पुत्रं संचिन्त्य तापसं,हत्वेव ब्राह्मणं कामात्स्पृष्ट्वाग्निमिव पाणिना / अन्वतप्यत धर्मात्मा पुत्रं संचिन्त्य तापसम्,BLOCKED_PENDING_PRINT_EVIDENCE,Preserve both readings; do not silently normalize or select a winner.,"Baroda Critical Ramayana Volume II, Ayodhyakanda",PHYSICAL_PURCHASE_AND_SCAN,https://www.bibliaimpex.com/index.php?Field=bookcode&String=44866&format=fullpage&p=sr,"Acquire the exact printed page and corrigenda, image the evidence page lawfully, and record which reading the edition supports."
