candidate_id,name,source_type,provider,primary_url,content_scope,known_scale,access_mode,formats,full_content_potential,rights_lane,rights_status,priority,next_action,last_verified
SRC-AMB-001,Ambuda Sanskrit Library,repository,Ambuda,https://ambuda.org/texts/catalog/,Sanskrit texts including critical-edition Ramayana and Mahabharata Upanishads kavya shastra and stotra,344 catalogued texts shown in current catalogue,item_download,XML|plain text|PDF|CSV,high,OPEN_REUSE,Project states permissive licences and open formats; verify licence and upstream lineage per text,P0,Export catalogue and inspect per-item licences and completeness manifests,2026-07-12
SRC-GRE-001,GRETIL,repository,Göttingen State and University Library,https://gretil.sub.uni-goettingen.de/gretil.html,Machine-readable texts across Veda epics Puranas religious literature philosophy Dharmashastra narrative and Indian languages,Large corpus with cumulative downloads; exact current work count to enumerate,bulk_download,TEI XML|HTML|plain text|legacy formats,high,UNKNOWN_REVIEW_REQUIRED,Mixed contributors and upstream restrictions are visible in catalogue; rights require item-level assessment,P0,Download catalogue metadata and build item-level rights and format inventory before bulk ingest,2026-07-12
SRC-SAR-001,SARIT,repository,SARIT project,https://sarit.indology.info/,Philological Indic texts across Sanskrit Buddhist Jain Ayurveda philosophy and Purana,60 TEI documents and 227 MB XML reported,item_download,TEI XML|PDF|repository source,high,UNKNOWN_REVIEW_REQUIRED,Public repository and downloadable files; exact text and repository licence must be confirmed per release,P0,Snapshot official text repository and verify licence plus manifest for all 60 documents,2026-07-12
SRC-MUK-001,Muktabodha Digital Library,collection,Muktabodha Indological Research Institute,https://muktabodha.org/digital-library/,Shaiva Shakta Virashaiva Pancharatra Srividya Natha Yoga Vedic and manuscript collections,More than 3000 preserved texts; over 570 e-texts; over 1100 IFP PDFs; 238 Gokarna manuscripts,web_read_only,searchable e-text|PDF|manuscript images,high,PARTNERSHIP_REQUIRED,Terms limit website use to personal/internal noncommercial use and prohibit screen scraping without consent,P0,Prepare institutional partnership request for bulk preservation licence metadata and collection manifests,2026-07-12
SRC-AMB-UP-001,Smith-Tokunaga electronic Critical Ramayana,collection,John D Smith / Muneo Tokunaga / Oriental Institute Baroda,https://bombay.indology.info/ramayana/statement.html,Seven-file constituted text of the Baroda Critical Edition of the Valmiki Ramayana,7 kandas 606 sargas 18761 addressed verse units,item_download,Unicode Devanagari|Unicode Roman|ASCII,high,PARTNERSHIP_REQUIRED,Freely available for scholarship is stated but no explicit redistribution modification or commercial-use licence is granted,P0,Request written permission from John D Smith and the M S University of Baroda Oriental Institute,2026-07-12
SRC-AMB-UP-MBH-001,BORI-Smith-Tokunaga electronic Critical Mahabharata,collection,Bhandarkar Oriental Research Institute / John D Smith / Muneo Tokunaga,https://bombay.indology.info/mahabharata/statement.html,Eighteen main-text parvans plus eighteen supplementary-passage files from the BORI Critical Edition,18 main files with 1995 adhyayas and 73816 units plus 12415 supplementary passages,item_download,Unicode Devanagari|Unicode Roman|ASCII,high,PARTNERSHIP_REQUIRED,Electronic main text and supplements assert BORI copyright and instruct users not to provide copies to others,P0,Request an institutional preservation redistribution transformation and commercial-use licence from BORI,2026-07-12
SRC-SD-001,Sanskrit Documents,repository,Sanskrit Documents,https://sanskritdocuments.org/,Popular Sanskrit stotras scriptures and texts in searchable and printable forms,Exact inventory to enumerate,item_download,source text|Unicode|PDF|multiple scripts,high,PERMISSIONED,FAQ makes copying conditional and requests contact for intended use; no blanket bulk-reuse assumption,P1,Request permission and obtain inventory/export with item-level attribution and exceptions,2026-07-12
SRC-DCS-001,Digital Corpus of Sanskrit,dataset,Heidelberg-associated DCS project,https://www.sanskrit-linguistics.org/dcs/,Lemmatized and morphologically annotated Sanskrit corpus,Roughly 650000 sentences reported in published research,web_read_only,search interface|annotated data,medium,UNKNOWN_REVIEW_REQUIRED,Access and reusable bulk licence not yet confirmed,P1,Contact project and locate official bulk dataset licence and source-text lineage,2026-07-12
SRC-TIT-001,TITUS,repository,Goethe University Frankfurt TITUS project,https://titus.uni-frankfurt.de/texte/titus.htm,Old Indo-European and Indic electronic texts including Vedic and Sanskrit material,Exact Indic inventory to enumerate,web_read_only,HTML|plain ASCII|legacy formats,medium,PARTNERSHIP_REQUIRED,Some texts freely accessible while full access requires contributor password,P2,Inventory free versus restricted texts and seek contributor or institutional access terms,2026-07-12
SRC-VHP-001,Vedic Heritage Portal,collection,IGNCA / Ministry of Culture Government of India,https://vedicheritage.gov.in/about-project/,Vedic Samhitas recensions Brahmanas Aranyakas Upanishads Vedangas recitation ritual manuscripts and books,Large multi-format portal; exact object count to enumerate,web_read_only,text|PDF|audio|video|catalogue,high,PARTNERSHIP_REQUIRED,Government portal contains varied contributed materials with no blanket reuse conclusion,P1,Request bulk collection inventory rights matrix and preservation partnership,2026-07-12
